Timestamps,Temperature_Bench1,Carbon Dioxide concentration_Bench1,Temperature_Ceiling1,is_anomaly,neg_log_anomaly_score
1543035412904,16.68,378.0,16.11,0.0,-6.891379668191407
1543035415237,16.67,378.0,16.1,0.0,-10.815694229263372
1543035415237,16.67,378.0,16.1,0.0,-10.816790140738876
1543035416437,16.67,378.0,16.1,0.0,-10.823775973991651
1543035416437,16.67,378.0,16.1,0.0,-10.82409706312908
1543035418237,16.67,378.0,16.1,0.0,-10.80547769868321
1543035418237,16.67,378.0,16.1,0.0,-10.822710467926564
1543035418237,16.67,378.0,16.1,0.0,-10.829740509010547
1543035418237,16.67,378.0,16.1,0.0,-10.793762078133774
1543035419237,16.67,378.0,16.1,0.0,-8.11461910494029
1543035420237,16.66,378.0,16.1,0.0,-10.810130638158297
1543035421317,16.66,378.0,16.1,0.0,-10.8129513772671
1543035422516,16.66,378.0,16.1,0.0,-10.817585258381918
1543035422516,16.66,378.0,16.1,0.0,-10.835957981261185
1543035422516,16.66,378.0,16.1,0.0,-10.806589811018073
1543035422516,16.66,378.0,16.1,0.0,-10.805645438100683
1543035424238,16.66,378.0,16.1,0.0,-10.823968811277588
1543035424238,16.66,378.0,16.1,0.0,-10.790211387244707
1543035425238,16.66,378.0,16.1,0.0,-10.818769441630243
1543035426238,16.66,378.0,16.1,0.0,-10.821817874318585
1543035427437,16.66,378.0,16.1,0.0,-10.833716918470202
1543035427437,16.66,378.0,16.1,0.0,-7.127795082308534
1543035429237,16.65,378.0,16.1,0.0,-10.817492608446013
1543035429237,16.65,378.0,16.1,0.0,-10.80432912790656
1543035429237,16.65,378.0,16.1,0.0,-10.836846048415259
1543035429237,16.65,378.0,16.1,0.0,-9.228993315977677
1543035430237,16.65,378.0,16.09,0.0,-10.836415370415972
1543035431241,16.65,378.0,16.09,0.0,-10.826902435109918
1543035432316,16.65,378.0,16.09,0.0,-8.047297976990556
1543035433520,16.65,377.0,16.08,0.0,-10.818015331352733
1543035433520,16.65,377.0,16.08,0.0,-10.834581718804976
1543035435342,16.65,377.0,16.08,0.0,-10.817172811566962
1543035435342,16.65,377.0,16.08,0.0,-10.825528897551397
1543035435342,16.65,377.0,16.08,0.0,-10.825766266506555
1543035435342,16.65,377.0,16.08,0.0,-10.821883063338168
1543035436353,16.65,377.0,16.08,0.0,-10.84262967667854
1543035437373,16.65,377.0,16.08,0.0,-10.804514975735607
1543035438437,16.65,377.0,16.08,0.0,-10.855579791861107
1543035439639,16.65,377.0,16.08,0.0,-10.808887891166703
1543035439639,16.65,377.0,16.08,0.0,-10.84464851013249
1543035439639,16.65,377.0,16.08,0.0,-10.811430343293994
1543035439639,16.65,377.0,16.08,0.0,-6.943742897261225
1543035441443,16.64,377.0,16.08,0.0,-10.79141336944372
1543035441443,16.64,377.0,16.08,0.0,-9.366862537361841
1543035442463,16.64,377.0,16.07,0.0,-10.805207744248742
1543035442463,16.64,377.0,16.07,0.0,-10.810642405535226
1543035443494,16.64,377.0,16.07,0.0,-10.832713317585599
1543035444518,16.64,377.0,16.07,0.0,-10.817640063402704
1543035445513,16.64,377.0,16.07,0.0,-10.808507719416058
1543035447241,16.64,377.0,16.07,0.0,-10.849746328439831
1543035447241,16.64,377.0,16.07,0.0,-10.832395851423936
1543035447241,16.64,377.0,16.07,0.0,-10.845906259925773
1543035447241,16.64,377.0,16.07,0.0,-7.989331946549227
1543035448240,16.63,377.0,16.06,0.0,-10.836402708574463
1543035449639,16.63,377.0,16.06,0.0,-10.850110218617369
1543035449639,16.63,377.0,16.06,0.0,-10.813912565151186
1543035449639,16.63,377.0,16.06,0.0,-10.7994776406629
