podkin_drova,timestamps,temp
False,1543021030741,110.2
False,1543021031790,110.17
False,1543021032809,110.16
False,1543021033507,110.18
False,1543021034507,110.19
False,1543021035540,110.14
False,1543021036505,110.16
False,1543021037604,110.16
False,1543021038941,110.17
False,1543021039609,110.15
False,1543021040506,110.17
False,1543021041507,110.19
False,1543021042507,110.16
False,1543021043705,110.15
False,1543021044507,110.17
False,1543021045507,110.14
False,1543021046508,110.16
False,1543021047509,110.17
False,1543021048605,110.14
False,1543021049803,110.19
False,1543021050604,110.17
False,1543021051506,110.21
False,1543021052507,110.2
False,1543021053540,110.22
False,1543021054709,110.22
False,1543021055541,110.22
False,1543021056541,110.19
False,1543021057541,110.24
False,1543021058541,110.21
False,1543021059605,110.2
False,1543021060804,110.21
False,1543021061603,110.23
False,1543021062541,110.24
False,1543021063541,110.25
False,1543021064542,110.29
False,1543021065708,110.24
False,1543021066908,110.28
False,1543021067706,110.24
False,1543021068606,110.21
False,1543021069610,110.23
False,1543021070630,110.27
False,1543021071804,110.24
False,1543021073004,110.22
False,1543021073803,110.23
False,1543021074740,110.22
False,1543021075742,110.24
False,1543021076741,110.23
False,1543021077907,110.23
False,1543021079106,110.21
False,1543021079910,110.18
False,1543021080841,110.21
False,1543021081604,110.18
False,1543021082942,110.18
False,1543021083604,110.2
False,1543021084609,110.24
False,1543021085605,110.21
False,1543021086603,110.19
False,1543021087707,110.19
False,1543021089086,110.22
False,1543021090107,110.22
False,1543021090706,110.2
False,1543021091603,110.19
False,1543021092608,110.17
False,1543021093804,110.19
False,1543021094602,110.18
False,1543021095603,110.17
False,1543021096604,110.19
False,1543021097605,110.17
False,1543021098741,110.2
False,1543021099907,110.14
False,1543021100705,110.2
False,1543021101604,110.17
False,1543021102603,110.22
False,1543021103603,110.23
False,1543021104803,110.22
False,1543021105602,110.18
False,1543021106602,110.24
False,1543021107604,110.2
False,1543021108602,110.22
False,1543021109706,110.23
False,1543021110908,110.2
False,1543021111742,110.23
False,1543021112604,110.22
False,1543021113604,110.22
False,1543021114620,110.21
False,1543021115803,110.21
False,1543021116650,110.25
False,1543021117686,110.26
False,1543021118686,110.23
False,1543021119701,110.26
False,1543021120742,110.22
False,1543021121904,110.21
False,1543021122752,110.23
False,1543021123801,110.23
False,1543021124820,110.23
False,1543021125840,110.26
False,1543021126886,110.25
False,1543021128001,110.26
False,1543021129202,110.26
False,1543021130004,110.26
False,1543021130942,110.24
False,1543021131960,110.25
False,1543021133001,110.23
False,1543021133708,110.24
False,1543021134613,110.23
False,1543021135615,110.22
False,1543021136618,110.26
False,1543021137805,110.27
False,1543021139142,110.22
False,1543021139802,110.3
False,1543021140705,110.32
False,1543021141631,110.33
False,1543021142707,110.29
False,1543021143907,110.29
False,1543021144704,110.28
False,1543021145637,110.3
False,1543021146635,110.32
False,1543021147637,110.28
False,1543021148801,110.29
False,1543021150006,110.32
False,1543021150802,110.36
False,1543021151703,110.32
False,1543021152704,110.32
False,1543021153706,110.35
False,1543021154904,110.39
False,1543021155705,110.38
False,1543021156705,110.39
False,1543021157984,110.38
False,1543021158704,110.39
False,1543021159804,110.39
False,1543021161003,110.42
False,1543021161802,110.4
False,1543021162705,110.42
False,1543021163704,110.38
False,1543021164705,110.39
False,1543021165905,110.4
False,1543021166743,110.43
False,1543021167743,110.39
False,1543021168791,110.4
False,1543021169811,110.42
False,1543021170832,110.42
False,1543021172002,110.41
True,1543021172887,110.42
True,1543021173891,110.42
True,1543021174911,110.44
True,1543021175943,110.4
True,1543021176952,110.4
True,1543021177704,110.42
True,1543021178706,110.4
True,1543021179705,110.42
True,1543021180704,110.43
True,1543021181804,110.41
True,1543021183144,110.4
True,1543021183803,110.41
True,1543021184742,110.41
True,1543021185705,110.39
True,1543021186706,110.42
True,1543021187906,110.42
True,1543021188705,110.38
True,1543021189705,110.4
True,1543021190707,110.35
True,1543021191710,110.42
True,1543021192802,110.4
True,1543021194001,110.4
True,1543021194806,110.4
True,1543021195743,110.38
True,1543021196744,110.36
True,1543021197742,110.34
True,1543021198942,110.38
True,1543021199743,110.38
True,1543021200743,110.4
True,1543021201743,110.36
True,1543021202743,110.36
True,1543021203803,110.38
True,1543021205004,110.39
True,1543021205806,110.38
True,1543021206746,110.42
True,1543021207744,110.42
True,1543021208802,110.43
True,1543021209943,110.47
True,1543021211106,110.45
True,1543021211943,110.44
